epoch,avg_loss,nll_per_token
1,111276.7511138916,1.85461251856486
2,78142.22224807739,1.30237037080129
3,71124.10492324829,1.1854017487208048
4,67531.89413070679,1.125531568845113
5,65224.25565719605,1.0870709276199342
6,63604.25090789796,1.060070848464966
7,62469.2811050415,1.041154685084025
8,61569.910232543945,1.026165170542399
9,60901.21380996704,1.0150202301661173
10,60315.81802558898,1.0052636337598164
11,59833.02459716797,0.9972170766194661
12,59422.976430892944,0.9903829405148824
13,59035.777601242065,0.9839296266873677
14,58728.38423347473,0.9788064038912455
15,58409.748836517334,0.9734958139419556
